h,n_nodes,L2_error,H1_error
0.25,30,0.2568601863992403,0.26276536314580023
0.125,98,0.07008095588464482,0.0815959782324266
0.075,259,0.024452793148800313,0.028978525714095444
0.05,513,0.01188965979160891,0.014890509719765053
0.025,1941,0.0029692505604431386,0.0037568887954719304
0.0125,7552,0.0007501837007362989,0.001041702953364534
0.0075,21082,0.00026529223356027716,0.00041782991411621343
0.005,46678,0.00011926557109951298,0.00022032463923158985
